Date,Close/Last,Volume,Open,High,Low,Daily Return,Rolling Volatility
2014-05-06,21.23,373872650.0,21.49,21.59,21.23,0.0,0.12245504520124166
2014-05-07,21.15,282128727.0,21.26,21.33,20.99,-0.0037682524729157896,0.12245504520124166
2014-05-08,21.0,228973884.0,21.01,21.23,20.94,-0.007092198581560183,0.12245504520124166
2014-05-09,20.91,291068564.0,20.88,20.94,20.73,-0.004285714285714226,0.12245504520124166
2014-05-12,21.17,212736019.0,20.98,21.2,20.98,0.012434241989478734,0.12245504520124166
2014-05-13,21.21,159417936.0,21.14,21.23,21.1,0.0018894662257911143,0.12245504520124166
2014-05-14,21.21,166020698.0,21.16,21.34,21.13,0.0,0.12245504520124166
2014-05-15,21.03,229710816.0,21.24,21.31,21.0,-0.008486562942008447,0.1172908472863196
2014-05-16,21.34,275840350.0,21.02,21.34,20.91,0.014740846409890596,0.1492042384180316
2014-05-19,21.59,315279314.0,21.35,21.69,21.33,0.011715089034676662,0.21805416539846187
2014-05-20,21.6,232929331.0,21.59,21.66,21.45,0.0004631773969430153,0.21654208872752176
2014-05-21,21.65,196739793.0,21.57,21.67,21.5,0.0023148148148146586,0.24054501608203638
2014-05-22,21.69,200570528.0,21.66,21.78,21.58,0.0018475750577369165,0.2534993190561029
2014-05-23,21.93,231673307.0,21.69,21.95,21.66,0.011065006915629283,0.2865143559936915
2014-05-27,22.34,347361701.0,22.0,22.35,21.99,0.018695850433196437,0.31847852585154846
2014-05-28,22.29,315174594.0,22.36,22.49,22.28,-0.0022381378692928333,0.32480763537823987
2014-05-29,22.69,374950650.0,22.42,22.75,22.42,0.01794526693584575,0.4191544777173204
2014-05-30,22.61,563440415.0,22.79,23.01,22.46,-0.00352578228294409,0.4214430990232114
2014-06-02,22.45,368718413.0,22.64,22.67,22.23,-0.0070765148164528835,0.36054852391216324
2014-06-03,22.77,292173443.0,22.45,22.81,22.44,0.014253897550111416,0.28664728616658475
2014-06-04,23.03,334940906.0,22.77,23.14,22.72,0.011418533157663724,0.26081374489050657
2014-06-05,23.12,303186119.0,23.08,23.19,22.95,0.0039079461571862595,0.29678435332906683
2014-06-06,23.06,349612060.0,23.21,23.26,23.02,-0.002595155709342656,0.25563180367007965
2014-06-09,23.43,301181800.0,23.18,23.47,22.94,0.016045099739809165,0.33445762775260973
2014-06-10,23.56,250252280.0,23.68,23.76,23.39,0.005548442168160417,0.3758545818087949
2014-06-11,23.47,182114960.0,23.53,23.69,23.37,-0.0038200339558573937,0.2872198427950873
2014-06-12,23.07,218514600.0,23.51,23.53,22.98,-0.01704303365999138,0.22755428447064835
2014-06-13,22.82,217626560.0,23.05,23.11,22.72,-0.010836584308625885,0.2708891883795829
2014-06-16,23.05,141485840.0,22.88,23.19,22.86,0.010078878177037787,0.2763710411402565
2014-06-17,23.02,118738480.0,23.08,23.18,22.95,-0.0013015184381779399,0.2803399297111868
2014-06-18,23.05,133258880.0,23.07,23.07,22.84,0.0013032145960034658,0.26541970357834527
2014-06-19,22.97,141904320.0,23.07,23.08,22.83,-0.003470715835141025,0.1981461701923697
2014-06-20,22.73,401914400.0,22.96,23.14,22.73,-0.01044841097083149,0.13196319833304318
2014-06-23,22.71,174446840.0,22.83,22.91,22.65,-0.0008798944126704455,0.15019035540654418
2014-06-24,22.57,155910680.0,22.69,22.94,22.55,-0.006164685160722216,0.19684414913230472
2014-06-25,22.59,147343600.0,22.55,22.68,22.41,0.0008861320336730483,0.20394910663016233
2014-06-26,22.73,130114720.0,22.59,22.76,22.45,0.00619743249225313,0.18137044438177413
2014-06-27,23.0,247032800.0,22.71,23.0,22.69,0.011878574571051459,0.1687912207150612
2014-06-30,23.23,197896920.0,23.03,23.43,23.02,0.010000000000000009,0.23789753696758184
2014-07-01,23.38,152625120.0,23.38,23.52,23.28,0.0064571674558759895,0.32097322244045845
2014-07-02,23.37,113657240.0,23.47,23.52,23.27,-0.00042771599657820403,0.35536031345798036
2014-07-03,23.51,91567000.0,23.42,23.53,23.3,0.005990586221651606,0.3515611441772807
2014-07-07,23.99,219236120.0,23.54,24.0,23.53,0.020416843896214232,0.3978214483432262
2014-07-08,23.84,260447840.0,24.07,24.2,23.48,-0.0062526052521884035,0.3428730155055947
2014-07-09,23.85,145069400.0,23.86,23.99,23.69,0.000419463087248495,0.2939306688578639
2014-07-10,23.76,158535200.0,23.44,23.89,23.38,-0.0037735849056603765,0.248825814003044
2014-07-11,23.81,135841200.0,23.84,23.97,23.72,0.002104377104376942,0.2157710426751767
2014-07-14,24.11,170575040.0,23.97,24.22,23.91,0.012599748005039935,0.18783224531730494
2014-07-15,23.83,180749680.0,24.2,24.21,23.76,-0.011613438407299892,0.12190941211363379
2014-07-16,23.7,213295760.0,24.24,24.28,23.69,-0.0054553084347460645,0.12906255404698497
2014-07-17,23.27,228444640.0,23.76,23.82,23.14,-0.018143459915611837,0.25221872593896694
2014-07-18,23.61,199352440.0,23.41,23.69,23.26,0.014611087236785503,0.25447424792527346
2014-07-21,23.48,155171840.0,23.75,23.75,23.43,-0.005506141465480674,0.26998236273961995
2014-07-22,23.68,217190120.0,23.67,23.72,23.53,0.008517887563884052,0.26453913204088425
2014-07-23,24.3,363748920.0,23.86,24.47,23.79,0.026182432432432456,0.32108447189988776
2014-07-24,24.26,182436160.0,24.26,24.33,24.11,-0.0016460905349794386,0.3856904754555568
2014-07-25,24.42,173538360.0,24.21,24.46,24.16,0.0065952184666118185,0.45727453460693435
2014-07-28,24.76,219707760.0,24.46,24.81,24.39,0.013923013923013983,0.48293251031980955
2014-07-29,24.6,171831840.0,24.83,24.86,24.56,-0.00646203554119551,0.46956920479863035
2014-07-30,24.54,131913920.0,24.61,24.68,24.42,-0.0024390243902440156,0.34865728841066934
2014-07-31,23.9,226501680.0,24.29,24.36,23.83,-0.026079869600652006,0.2796256000269854
2014-08-01,24.03,193518920.0,23.73,24.16,23.7,0.005439330543933085,0.31200579970185727
2014-08-04,23.9,159442960.0,24.09,24.15,23.79,-0.005409904286308942,0.3573380419021381
2014-08-05,23.78,223444120.0,23.84,23.92,23.59,-0.005020920502091908,0.4026519234134506
2014-08-06,23.74,153854800.0,23.69,23.87,23.68,-0.001682085786375187,0.35454195802469235
2014-08-07,23.62,186213400.0,23.73,23.99,23.53,-0.005054759898904693,0.2996108587262009
2014-08-08,23.69,167133200.0,23.57,23.71,23.32,0.002963590177815334,0.14194230887091336
2014-08-11,24.0,145837720.0,23.82,24.02,23.71,0.013085690164626351,0.15691975504631678
2014-08-12,23.99,133943480.0,24.01,24.22,23.9,-0.0004166666666667318,0.14862865198360198
2014-08-13,24.31,127466520.0,24.04,24.31,24.01,0.01333889120466858,0.2396425910153647
2014-08-14,24.38,112226120.0,24.33,24.39,24.2,0.002879473467708671,0.2995234309937556
2014-08-15,24.5,195752480.0,24.48,24.55,24.22,0.004922067268252617,0.3407834111768328
2014-08-18,24.79,189142520.0,24.62,24.84,24.5,0.011836734693877471,0.3690399384761238
2014-08-19,25.13,276759360.0,24.85,25.17,24.83,0.013715207745058411,0.4120563992834735
2014-08-20,25.14,210260000.0,25.11,25.27,24.99,0.0003979307600479043,0.4326221269906224
2014-08-21,25.15,133510120.0,25.14,25.24,25.03,0.0003977724741446309,0.3759179241726458
2014-08-22,25.33,176113120.0,25.07,25.37,25.05,0.007157057654075594,0.3647699862339677
2014-08-25,25.39,160348880.0,25.45,25.54,25.32,0.0023687327279906523,0.3129658432602616
2014-08-26,25.22,132316680.0,25.36,25.38,25.22,-0.006695549428909042,0.1930334291305353
2014-08-27,25.53,187228000.0,25.26,25.64,25.18,0.012291831879460924,0.152206000757713
2014-08-28,25.56,273474960.0,25.4,25.7,25.39,0.001175088131609714,0.17179722266170902
2014-08-29,25.63,178064480.0,25.72,25.73,25.55,0.0027386541471048353,0.18040958690605005
2014-09-02,25.83,212911080.0,25.77,25.94,25.68,0.007803355442840498,0.20399579827604405
2014-09-03,24.74,500001600.0,25.78,25.8,24.65,-0.04219899341850564,0.35283882736347344
2014-09-04,24.53,342150840.0,24.71,25.02,24.45,-0.008488278092158352,0.48694382192843916
2014-09-05,24.74,233120120.0,24.7,24.85,24.58,0.008560945780676565,0.5305253461024562
2014-09-08,24.59,184706280.0,24.83,24.83,24.51,-0.006063055780113125,0.5580749224321078
2014-09-09,24.5,757678000.0,24.77,25.77,24.04,-0.0036600244001626647,0.5526214583152346
2014-09-10,25.25,401410000.0,24.5,25.28,24.44,0.030612244897959107,0.48811591129271936
2014-09-11,25.36,248308920.0,25.1,25.36,24.91,0.00435643564356436,0.34846602621855244
2014-09-12,25.42,251304160.0,25.3,25.55,25.27,0.0023659305993690705,0.41270305247694644
2014-09-15,25.41,244678680.0,25.7,25.76,25.36,-0.0003933910306845867,0.41066728509536954
2014-09-16,25.22,267017480.0,24.95,25.32,24.72,-0.00747737111373481,0.39216128849041154
2014-09-17,25.4,243132360.0,25.32,25.45,25.15,0.007137192704202988,0.3284668570654605
2014-09-18,25.45,147884680.0,25.48,25.59,25.39,0.0019685039370078705,0.08896227129673592
2014-09-19,25.24,282989720.0,25.57,25.59,25.22,-0.008251473477406734,0.09105205209364922
2014-09-22,25.27,209686640.0,25.45,25.54,25.15,0.0011885895404120106,0.09675693650531204
2014-09-23,25.66,253023440.0,25.15,25.74,25.14,0.01543332014246146,0.15377782365350343
2014-09-24,25.44,239897040.0,25.54,25.71,25.3,-0.008573655494933718,0.1552110698064583
2014-09-25,24.47,398757200.0,25.13,25.18,24.43,-0.03812893081761015,0.38100118734971383
2014-09-26,25.19,249107080.0,24.63,25.19,24.6,0.02942378422558245,0.3778384638465108
2014-09-29,25.03,197053040.0,24.66,25.11,24.66,-0.006351726875744368,0.373312074224622
2014-09-30,25.19,220479920.0,25.2,25.39,25.13,0.006392329204954139,0.37257789214373754
2014-10-01,24.8,205601040.0,25.15,25.17,24.68,-0.015482334259626862,0.3950286306682116
2014-10-02,24.98,190788600.0,24.82,25.06,24.51,0.007258064516129092,0.3126690019203788
2014-10-03,24.91,173678320.0,24.86,25.05,24.76,-0.002802241793434801,0.2503616431902689
2014-10-06,24.91,147122480.0,24.99,25.16,24.86,0.0,0.147017977520663
2014-10-07,24.69,168012800.0,24.86,25.03,24.68,-0.008831794460056108,0.16093476939424423
2014-10-08,25.2,229319280.0,24.69,25.28,24.58,0.020656136087484622,0.1889318345203296
2014-10-09,25.26,309133320.0,25.39,25.6,25.15,0.0023809523809523725,0.20468326286049296
2014-10-10,25.18,264999080.0,25.17,25.51,25.08,-0.0031670625494854,0.2042407542932283
2014-10-13,24.95,213748240.0,25.33,25.45,24.95,-0.009134233518665602,0.20549591584397112
2014-10-14,24.69,253148680.0,25.1,25.13,24.64,-0.010420841683366655,0.23830752441007028
2014-10-15,24.39,399771160.0,24.49,24.79,23.8,-0.012150668286755817,0.32870597659245104
2014-10-16,24.07,288071320.0,23.89,24.43,23.85,-0.013120131201312057,0.45621632295799003
2014-10-17,24.42,270895640.0,24.38,24.75,24.2,0.014540922309929538,0.44299844136022853
2014-10-20,24.94,302820160.0,24.58,24.99,24.56,0.02129402129402136,0.38994505107401256
2014-10-21,25.62,375146720.0,25.76,25.76,25.32,0.027265437048917374,0.505531309378438
2014-10-22,25.75,272560040.0,25.71,26.03,25.65,0.0050741608118656245,0.6378087487640602
2014-10-23,26.21,283040600.0,26.02,26.26,25.91,0.017864077669903056,0.8129312042584691
2014-10-24,26.31,187751520.0,26.3,26.37,26.13,0.0038153376573826225,0.8720747019116389
2014-10-27,26.28,136344480.0,26.21,26.37,26.18,-0.0011402508551880963,0.7273173146505403
2014-10-28,26.69,190756280.0,26.35,26.69,26.34,0.015601217656012079,0.5801559724599575
2014-10-29,26.84,210182320.0,26.66,26.84,26.59,0.0056200824278755945,0.44615820384383464
2014-10-30,26.75,162288000.0,26.74,26.84,26.48,-0.003353204172876323,0.38322565775522155
2014-10-31,27.0,178203160.0,27.0,27.01,26.8,0.009345794392523255,0.3121812660253068
2014-11-03,27.35,208617960.0,27.06,27.58,27.0,0.012962962962963065,0.37606990231683646
2014-11-04,27.15,165694640.0,27.34,27.37,26.93,-0.007312614259597949,0.3467399190006778
2014-11-05,27.22,149462120.0,27.28,27.33,27.03,0.0025782688766113893,0.25086516962974537
2014-11-06,27.18,138934960.0,27.15,27.2,26.95,-0.0014695077149154967,0.21587033144929582
2014-11-07,27.25,134621120.0,27.19,27.33,27.14,0.002575423105224406,0.19794179038541107
2014-11-10,27.21,108264240.0,27.26,27.33,27.17,-0.0014678899082568586,0.10659223593646644
2014-11-11,27.43,109321640.0,27.18,27.44,27.1,0.008085262771039936,0.09964221709999646
2014-11-12,27.81,185490520.0,27.35,27.86,27.34,0.013853445133065856,0.23369699551837972
2014-11-13,28.21,237672720.0,27.95,28.36,27.9,0.014383315354189241,0.39313756225674595
2014-11-14,28.55,175156240.0,28.29,28.55,28.26,0.012052463665366941,0.5432836670259645
2014-11-17,28.5,186750840.0,28.57,29.32,28.33,-0.0017513134851138146,0.5758596059060956
2014-11-18,28.87,176653000.0,28.49,28.92,28.47,0.012982456140350873,0.6178649875637752
2014-11-19,28.67,167262200.0,28.86,28.94,28.45,-0.006927606511950124,0.5113520826016038
2014-11-20,29.08,172594600.0,28.73,29.22,28.71,0.014300662713637724,0.4202663554507524
2014-11-21,29.12,227037280.0,29.38,29.39,29.01,0.0013755158184320937,0.3295884880098564
2014-11-24,29.66,187469360.0,29.21,29.69,29.16,0.018543956043955978,0.40650660394103627
2014-11-25,29.4,274879720.0,29.77,29.94,29.36,-0.008766014834794333,0.4040096651366985
2014-11-26,29.75,163027800.0,29.49,29.78,29.46,0.011904761904761862,0.4003094041459441
2014-11-28,29.73,99257600.0,29.82,29.85,29.51,-0.0006722689075630006,0.4064011623531235
2014-12-01,28.77,334631120.0,29.7,29.81,27.82,-0.03229061553985879,0.3796238740047199
2014-12-02,28.66,236821280.0,28.38,28.94,28.19,-0.00382342718109141,0.45641459848952
2014-12-03,28.98,171824800.0,28.94,29.09,28.78,0.011165387299371998,0.4684523658256863
2014-12-04,28.87,168272080.0,28.94,29.3,28.82,-0.003795721187025536,0.4562476353494511
2014-12-05,28.75,152923880.0,29.0,29.02,28.66,-0.004156563907170119,0.4666445572994527
2014-12-08,28.1,229780120.0,28.53,28.66,27.91,-0.022608695652173827,0.48400118063616027
2014-12-09,28.53,240448960.0,27.55,28.58,27.34,0.01530249110320292,0.287799533405844
2014-12-10,27.99,177901440.0,28.6,28.71,27.89,-0.018927444794952786,0.3776619803853963
2014-12-11,27.91,165618760.0,28.07,28.45,27.84,-0.0028581636298677937,0.4433476546201505
2014-12-12,27.43,223495280.0,27.62,27.97,27.4,-0.01719813686850591,0.5142585971687246
2014-12-15,27.06,268333040.0,27.68,27.9,26.59,-0.013488880787459023,0.5863080613953527
2014-12-16,26.69,242607160.0,26.59,27.54,26.57,-0.01367331855136722,0.6422023119888591
2014-12-17,27.35,213063720.0,26.78,27.46,26.71,0.02472836268265266,0.6212851503901101
2014-12-18,28.16,235142360.0,27.97,28.16,27.67,0.029616087751371145,0.5353725894401314
2014-12-19,27.95,346383320.0,28.07,28.31,27.92,-0.0074573863636363535,0.5296135158684094
2014-12-22,28.24,180388240.0,28.04,28.37,27.99,0.010375670840787166,0.5834054377205677
2014-12-23,28.14,103964120.0,28.31,28.33,28.12,-0.003541076487252104,0.618839159040481
2014-12-24,28.0,57918440.0,28.15,28.18,28.0,-0.00497512437810943,0.5679201821852797
